strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
random_ctrl,USELESS-USDT-SWAP,long,2026-09-12T12:00:00+00:00,2026-09-14T12:00:00+00:00,0.23895942,0.1921967107,2144.125431,512.3589695,0.1922928571,100.0589642,1,512.3589695,0.9244528247,0.4622014616,-0.1419250226,-101.3314921,stop,"KONTROL GRUBU: bilgisiz çekiliş — 50 uygun sembol arasından USELESS-USDT-SWAP, yön long; tohum 20240217 + 2026-09-12 08:00 UTC; stop 2×ATR(14)=0.0464271 uzakta (0.192293)",
random_ctrl,DOGE-USDT-SWAP,long,2026-09-14T16:00:00+00:00,2026-09-15T12:00:00+00:00,0.084042,0.081829065,45582.1664,3830.816429,0.08187,99.00446543,1,3830.816429,5.88228676,3.780356971,-0.4079551852,-107.1606134,stop,"KONTROL GRUBU: bilgisiz çekiliş — 49 uygun sembol arasından DOGE-USDT-SWAP, yön long; tohum 20240217 + 2026-09-14 12:00 UTC; stop 2×ATR(14)=0.00214 uzakta (0.08187)",
random_ctrl,DASH-USDT-SWAP,long,2026-09-12T16:00:00+00:00,2026-09-16T00:00:00+00:00,56.26812,50.404785,27.23205007,1532.296261,52.59571429,100.0071363,1,1532.296261,2.287240357,1.45242139,-0.3630032274,-162.3208759,stop,"KONTROL GRUBU: bilgisiz çekiliş — 49 uygun sembol arasından DASH-USDT-SWAP, yön long; tohum 20240217 + 2026-09-12 12:00 UTC; stop 2×ATR(14)=3.64429 uzakta (52.5957)",
random_ctrl,ARB-USDT-SWAP,short,2026-09-12T08:00:00+00:00,2026-09-16T04:00:00+00:00,0.144317805,0.1576718679,7623.165996,1100.158584,0.1574357143,100,1,1100.158584,1.761235935,2.350592345,0.1470288759,-103.4144449,stop,"KONTROL GRUBU: bilgisiz çekiliş — 50 uygun sembol arasından ARB-USDT-SWAP, yön short; tohum 20240217 + 2026-09-12 04:00 UTC; stop 2×ATR(14)=0.0130457 uzakta (0.157436)",
random_ctrl,MSTR-USDT-SWAP,short,2026-09-16T08:00:00+00:00,2026-09-18T04:00:00+00:00,128.565685,135.8177071,13.79018831,1772.945006,135.6142857,97.20153117,1,1772.945006,2.00524322,3.692135767,2.228029935,-99.78396426,stop,"KONTROL GRUBU: bilgisiz çekiliş — 50 uygun sembol arasından MSTR-USDT-SWAP, yön short; tohum 20240217 + 2026-09-16 04:00 UTC; stop 2×ATR(14)=6.95429 uzakta (135.614)",
random_ctrl,ADA-USDT-SWAP,short,2026-09-12T20:00:00+00:00,2026-09-18T12:00:00+00:00,0.2068965,0.2178405571,9392.405338,1943.255791,0.2175142857,99.72654722,1,1943.255791,3.068581537,4.03658746,0.7882040301,-105.0713982,stop,"KONTROL GRUBU: bilgisiz çekiliş — 49 uygun sembol arasından ADA-USDT-SWAP, yön short; tohum 20240217 + 2026-09-12 16:00 UTC; stop 2×ATR(14)=0.0105143 uzakta (0.217514)",
