ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-16T20:15:00+00:00,10000,0,0,10000,0
2026-09-16T20:30:00+00:00,10000,0,0,10000,0
2026-09-16T20:45:00+00:00,7991.920785,2006.975378,0.5714361877,9999.4676,1
2026-09-16T21:00:00+00:00,7991.920785,2006.975378,-0.4115365175,9998.484627,1
2026-09-16T21:15:00+00:00,7991.920785,2006.975378,-3.818619877,9995.077544,1
2026-09-16T21:30:00+00:00,5007.21574,4990.039738,-12.16837516,9985.087103,2
2026-09-16T21:45:00+00:00,5007.21574,4990.039738,-10.0592946,9987.196184,2
2026-09-16T22:00:00+00:00,5007.21574,4990.039738,-18.08318369,9979.172294,2
2026-09-16T22:15:00+00:00,5007.21574,4990.039738,-26.96082272,9970.294655,2
2026-09-16T22:30:00+00:00,5007.21574,4990.039738,-21.32693799,9975.92854,2
2026-09-16T22:45:00+00:00,5007.21574,4990.039738,-31.85451678,9965.400961,2
2026-09-16T23:00:00+00:00,5007.21574,4990.039738,-19.51646727,9977.739011,2
2026-09-16T23:15:00+00:00,5007.21574,4990.039738,1.226522617,9998.482001,2
2026-09-16T23:30:00+00:00,5007.21574,4990.039738,11.82318252,10009.07866,2
2026-09-16T23:45:00+00:00,5007.21574,4990.039738,10.44658339,10007.70206,2
2026-09-17T00:00:00+00:00,5006.865087,4990.039738,17.93837457,10014.8432,2
2026-09-17T00:15:00+00:00,5006.865087,4990.039738,21.18015872,10018.08498,2
2026-09-17T00:30:00+00:00,5006.865087,4990.039738,23.81279281,10020.71762,2
2026-09-17T00:45:00+00:00,5006.865087,4990.039738,15.77601213,10012.68084,2
2026-09-17T01:00:00+00:00,5006.865087,4990.039738,14.61776095,10011.52259,2
2026-09-17T01:15:00+00:00,2924.631309,7071.128917,66.60396037,10062.36419,3
2026-09-17T01:30:00+00:00,2924.631309,7071.128917,72.59327297,10068.3535,3
2026-09-17T01:45:00+00:00,0,9994.000957,47.59263831,10041.5936,4
2026-09-17T02:00:00+00:00,0,9994.000957,12.7050983,10006.70606,4
2026-09-17T02:15:00+00:00,0,9994.000957,6.2242687,10000.22523,4
