strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
avwap,GLM-USDT-SWAP,long,2026-09-13T20:00:00+00:00,2026-09-14T00:00:00+00:00,0.112726335,0.1173997613,5145.97325,580.0867045,0.10301,50,1,580.0867045,1.184222736,0.5921175283,0.3382334157,23.20333745,tp,"çapa swing dip 0.10301 (2026-09-11 12:00 UTC, 14 bar); AVWAP 0.120967, hacim ağırlıklı σ 0.00350847; kapanış 0.11266 alt 2σ bandının (0.11395) altında; eğim son 5 barda +0.0116695 (-2.45×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (0.10301, 2.03×ATR, tavan 3×); hedef 1σ 0.117458 (%50) ve AVWAP 0.120967",
avwap,GLM-USDT-SWAP,long,2026-09-13T20:00:00+00:00,2026-09-14T00:00:00+00:00,0.112726335,0.1209064747,5145.97325,580.0867045,0.10301,50,1,580.0867045,1.202268189,0.6011447685,0.3382334157,41.23074521,tp,"çapa swing dip 0.10301 (2026-09-11 12:00 UTC, 14 bar); AVWAP 0.120967, hacim ağırlıklı σ 0.00350847; kapanış 0.11266 alt 2σ bandının (0.11395) altında; eğim son 5 barda +0.0116695 (-2.45×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (0.10301, 2.03×ATR, tavan 3×); hedef 1σ 0.117458 (%50) ve AVWAP 0.120967",
avwap,ADA-USDT-SWAP,long,2026-09-15T16:00:00+00:00,2026-09-15T16:00:00+00:00,0.2019009,0.1940743429,13020.85683,2628.922712,0.1941714286,100.6443408,1,2628.922712,2.83576532,2.57794364,0,-104.7442453,stop,"çapa swing dip 0.2001 (2026-09-11 12:00 UTC, 25 bar); AVWAP 0.207038, hacim ağırlıklı σ 0.00242316; kapanış 0.2018 alt 2σ bandının (0.202192) altında; eğim son 5 barda -0.000611725 (+0.12×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (0.194171, 1.50×ATR, tavan 3×); hedef 1σ 0.204615 (%50) ve AVWAP 0.207038",
avwap,SOL-USDT-SWAP,long,2026-09-15T16:00:00+00:00,2026-09-15T16:00:00+00:00,99.36966,96.63273089,37.42362992,3718.773381,96.68107143,100.6167437,1,3718.773381,4.034316517,3.667535781,0,-106.4601385,stop,"çapa swing dip 97.77 (2026-09-11 12:00 UTC, 25 bar); AVWAP 101.353, hacim ağırlıklı σ 0.961416; kapanış 99.32 alt 2σ bandının (99.4306) altında; eğim son 5 barda -0.113544 (+0.06×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (96.6811, 1.50×ATR, tavan 3×); hedef 1σ 100.392 (%50) ve AVWAP 101.353",
avwap,SPCX-USDT-SWAP,long,2026-09-15T16:00:00+00:00,2026-09-16T12:00:00+00:00,144.85239,147.7334387,18.99552643,2751.547403,142.2071429,50.24786203,1.483225988,1855.110027,3.056802014,2.778925298,-0.5209426652,51.14929195,tp,"çapa swing dip 143.8 (2026-09-10 12:00 UTC, 31 bar); AVWAP 149.059, hacim ağırlıklı σ 1.2521; kapanış 144.77 alt 2σ bandının (146.555) altında; eğim son 5 barda -0.404606 (+0.24×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (142.207, 1.50×ATR, tavan 3×); hedef 1σ 147.807 (%50) ve AVWAP 149.059",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı
avwap,SPCX-USDT-SWAP,long,2026-09-15T16:00:00+00:00,2026-09-16T12:00:00+00:00,144.85239,148.9849168,18.99552643,2751.547403,142.2071429,50.24786203,1.483225988,1855.110027,3.06987688,2.790817487,-0.5209426652,74.90870188,tp,"çapa swing dip 143.8 (2026-09-10 12:00 UTC, 31 bar); AVWAP 149.059, hacim ağırlıklı σ 1.2521; kapanış 144.77 alt 2σ bandının (146.555) altında; eğim son 5 barda -0.404606 (+0.24×ATR aleyhte, sınır 0.5×); stop çapanın ötesi veya 1.5×ATR(14) (142.207, 1.50×ATR, tavan 3×); hedef 1σ 147.807 (%50) ve AVWAP 149.059",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı
